name,E_Pa,Sy_Pa
Magnesium AZ31B Var7,45000000000.0,200000000.0
Zinc Var7,108000000000.0,55000000.0
Lead Var7,16000000000.0,12000000.0
Tungsten Var7,400000000000.0,550000000.0
Molybdenum Var7,330000000000.0,550000000.0
Beryllium Var7,287000000000.0,240000000.0
ABS Var7,2000000000.0,35000000.0
Acrylic (PMMA) Var7,3200000000.0,60000000.0
Polycarbonate Var7,2300000000.0,70000000.0
Nylon 6/6 Var7,2800000000.0,70000000.0
POM (Delrin) Var7,3000000000.0,69000000.0
PEEK Var7,3600000000.0,90000000.0
HDPE Var7,1000000000.0,25000000.0
LDPE Var7,2000000000.0,20000000.0
PP (Polypropylene) Var7,1500000000.0,30000000.0
PTFE (Teflon) Var7,500000000.0,20000000.0
PVC (Rigid) Var7,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var7,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var7,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var7,40000000000.0,350000000.0
Kevlar/Epoxy Var7,70000000000.0,360000000.0
G10/FR4 Var7,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var7",300000000000.0,250000000.0
